"Lang";"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context";"Para context 1";"Lang 1"
"ru";" лидован типещбо йынневтсежодух и йынрутаретиЛ ";"уксот";"Литературный и художественный общепит наводил";"тоску";". ";"";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Их бедственный культурный уровень задавал стиль жизни страны и устанавливал планку, выше которой подниматься было опасно.  Литературный и художественный общепит наводил тоску.  Незначительная во всех отношениях горстка людей — недобитые умники, упрятавшиеся в математику и биологию, среди которых была и пара академиков, но гораздо больше маргиналов, прозябающих на мелких должностях, таящихся в третьесортных научно-исследовательских институтах; двое-трое гениальных студентов химфака, физтеха или консерватории,  — эти невидимки с духовными запросами существовали нелегально.";" Their mediocrity in matters of culture set a precedent for the entire country; it was dangerous to try to rise above the lowest common denominator.  This diet of literary and artistic pablum was profoundly depressing.  A handful of people, insignificant in all respects — surviving eggheads holed up in math and biology departments, some of them true scholars and respected academics, but far more of them marginals and eccentrics vegetating in low-level positions or languishing in third-rate research institutes, and one or two truly brilliant students of chemistry or physics or musical theory — these invisible, impractical people with spiritual needs existed illegally, outside the system. ";"en"
"ru";" ,ачут яаведжод как ,яалежят ьсалитсупо еен";"аксот";"нее опустилась тяжелая, как дождевая туча,";"тоска";". ";"";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"— Да не в ремонте дело… — вздохнула Алена, и на нее опустилась тяжелая, как дождевая туча, тоска.";"” “No, it's not about the condition of the room…” Alyona sighed, and sank into a heavy despondency that covered her like a rain cloud. ";"en"
"ru";" ,яинечанз огонсонереп зеб ,йонтремс меинещущо — еонвалг";"иксот";"главное — ощущением смертной, без переносного значения,";"тоски";". ";"";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Они скрывались как бы внутри зданий, рядились в их убогие архитектурные одежды — и все же проступали общими очертаниями, углами, а главное — ощущением смертной, без переносного значения, тоски.";" They were hidden inside the buildings, clad in pathetic architectural dress — and yet they were revealed in general outlines, corners, and most important in the sense of deadly (and I don't mean that figuratively) dreariness. ";"en"
"ru";" и адюстО ";"аксот";"Отсюда и";"тоска";", ";"смертная тоска — тоска человека, оказавшегося лишь";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Отсюда и тоска, смертная тоска — тоска человека, оказавшегося лишь материалом или инструментом великого строительства.";" Hence the dreariness, the deadly dreariness — the angst of a man who was only the material or tool of a great construction project. ";"en"
"ru";" яантремс ,аксот и адюстО ";"аксот";"Отсюда и тоска, смертная";"тоска";" — ";"тоска человека, оказавшегося лишь материалом или";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Отсюда и тоска, смертная тоска — тоска человека, оказавшегося лишь материалом или инструментом великого строительства.";" Hence the dreariness, the deadly dreariness — the angst of a man who was only the material or tool of a great construction project. ";"en"
"ru";" — аксот яантремс ,аксот и адюстО ";"аксот";"Отсюда и тоска, смертная тоска —";"тоска";" ";"человека, оказавшегося лишь материалом или инструментом";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Отсюда и тоска, смертная тоска — тоска человека, оказавшегося лишь материалом или инструментом великого строительства.";" Hence the dreariness, the deadly dreariness — the angst of a man who was only the material or tool of a great construction project. ";"en"
"ru";" В« :уноипрокс-укеволеч ,теащев уме шемагьлиГ";"ексот";"Гильгамеш ему вещает, человеку-скорпиону: «В";"тоске";" ";"моей плоти, в печали сердца, В";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"» Гильгамеш ему вещает, человеку-скорпиону: «В тоске моей плоти, в печали сердца, В жару и в стужу, в темноте и во мраке, Во вздохах и плаче — вперед пойду я!";" Gilgamesh said to the Scorpion-Man:‘ Whether it be in sorrow, Whether it be in pain, In cold, in heat, In sighing, in weeping, I will go! ";"en"
"ru";" теавытавхо ябет торов хытолоЗ У ";"аксот";"У Золотых ворот тебя охватывает";"тоска";"; ";"новая орда, кочевники нового мира, торговцы";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"У Золотых ворот тебя охватывает тоска; новая орда, кочевники нового мира, торговцы куртками из поддельной кожи ютятся в развалинах, не будучи в силах хотя бы разобрать их до основания и построить нечто иное; они сжились с разором, с тем, что щели в старых стенах достаточно им для жилья; с тем, что можно жить без оглядки на прошлое, можно полагать, что тень древних стен — удобная прохлада в жару, и ничего более.";" Depression hits you by the Golden Gate; a new horde, the nomads of the new world, traders in fake leather jackets huddle in the ruins, unable to take them apart completely and build something different; they have grown accustomed to disarray, to accepting crevices in the old walls as living space; to the fact that you can live without looking back at the past and assuming that the shade of ancient walls is convenient shade on a hot day and nothing more. ";"en"
"ru";" еенчывирп тут акукс отч ;розаз тотэ";"иксот";"этот зазор; что скука тут привычнее";"тоски";", ";"потому что тоска отсылает к чему-то";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Чувствовалось, что здешняя жизнь почти целиком умещается в этот зазор; что скука тут привычнее тоски, потому что тоска отсылает к чему-то, чего нет в данности жизни, а скука утверждает, что и тосковать-то не по чему нигде ничего нет, всюду то же, что здесь.";" I sensed that boredom was more usual here than yearning, because yearning refers to something that does not exist in a given life, while boredom asserts that there is nothing to yearn for: there is nothing anywhere, every place is the same as here. ";"en"
"ru";" отч умотоп ,иксот еенчывирп тут акукс";"аксот";"скука тут привычнее тоски, потому что";"тоска";" ";"отсылает к чему-то, чего нет в";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Чувствовалось, что здешняя жизнь почти целиком умещается в этот зазор; что скука тут привычнее тоски, потому что тоска отсылает к чему-то, чего нет в данности жизни, а скука утверждает, что и тосковать-то не по чему нигде ничего нет, всюду то же, что здесь.";" I sensed that boredom was more usual here than yearning, because yearning refers to something that does not exist in a given life, while boredom asserts that there is nothing to yearn for: there is nothing anywhere, every place is the same as here. ";"en"
"ru";" В :уноипрокс-укеволеч тевто оге ,»ашемагьлиГ";"ексот";"Гильгамеша», его ответ человеку-скорпиону: В";"тоске";" ";"моей плоти, в печали сердца, В";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Только тогда этот красный снег, заметающий кладбище, станет чем-то более глубоким, чем образ, чем метафора,  — станет открывающейся дверью, ходом в пространство возрастающей судьбы; внезапно по памяти я повторил строки из «Гильгамеша», его ответ человеку-скорпиону: В тоске моей плоти, в печали сердца, В жару и в стужу, в темноте и во мраке, Во вздохах и в плаче — вперед пойду я!";" Only then will the red snow covering the cemetery become something deeper than an image or a metaphor — it will become an opening door leading to the space of growing destiny; the words of Gilgamesh came to mind, his response to the Scorpion-Man: “Whether it be in sorrow, Whether it be in pain, In cold, in heat, In sighing, in weeping, I will go! ";"en"
"ru";" хатсем хыни в яанжомзовен ,яаннартс теакинзов";"аксот";"возникает странная, невозможная в иных местах";"тоска";": ";"тоска не по теплу, не по";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Там, где род человеческий исчерпывается одним тобой, возникает странная, невозможная в иных местах тоска: тоска не по теплу, не по общению, а тоска по человеку в антропологическом смысле; след чужого сапога на песке у ручья может заставить насторожиться — ты не знаешь, кто этот незнакомец: старатель-одиночка, беглец, блаженный, ищущий в тундре успокоения или откровения,  — но ты пойдешь по этому следу, потому что даже возможное зло, с которым ты рискуешь встретиться, будет все-таки исходить от существа твоей породы.";" Where you by yourself are the human race, you feel a strange longing that is impossible in other places: a longing not for warmth or socializing, but for humans in the anthropological sense; a footprint in the sand by a brook can make you alert — you don't know who the stranger is: a solitary prospector, a fugitive, a seeker of peace or revelation in the tundra — but you will follow his tracks because even the possible evil you might encounter will at least come from a creature of your own breed. ";"en"
"ru";" :аксот хатсем хыни в яанжомзовен ,яаннартс";"аксот";"странная, невозможная в иных местах тоска:";"тоска";" ";"не по теплу, не по общению";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Там, где род человеческий исчерпывается одним тобой, возникает странная, невозможная в иных местах тоска: тоска не по теплу, не по общению, а тоска по человеку в антропологическом смысле; след чужого сапога на песке у ручья может заставить насторожиться — ты не знаешь, кто этот незнакомец: старатель-одиночка, беглец, блаженный, ищущий в тундре успокоения или откровения,  — но ты пойдешь по этому следу, потому что даже возможное зло, с которым ты рискуешь встретиться, будет все-таки исходить от существа твоей породы.";" Where you by yourself are the human race, you feel a strange longing that is impossible in other places: a longing not for warmth or socializing, but for humans in the anthropological sense; a footprint in the sand by a brook can make you alert — you don't know who the stranger is: a solitary prospector, a fugitive, a seeker of peace or revelation in the tundra — but you will follow his tracks because even the possible evil you might encounter will at least come from a creature of your own breed. ";"en"
"ru";" а ,юинещбо оп ен ,улпет оп";"аксот";"по теплу, не по общению, а";"тоска";" ";"по человеку в антропологическом смысле; след";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Там, где род человеческий исчерпывается одним тобой, возникает странная, невозможная в иных местах тоска: тоска не по теплу, не по общению, а тоска по человеку в антропологическом смысле; след чужого сапога на песке у ручья может заставить насторожиться — ты не знаешь, кто этот незнакомец: старатель-одиночка, беглец, блаженный, ищущий в тундре успокоения или откровения,  — но ты пойдешь по этому следу, потому что даже возможное зло, с которым ты рискуешь встретиться, будет все-таки исходить от существа твоей породы.";" Where you by yourself are the human race, you feel a strange longing that is impossible in other places: a longing not for warmth or socializing, but for humans in the anthropological sense; a footprint in the sand by a brook can make you alert — you don't know who the stranger is: a solitary prospector, a fugitive, a seeker of peace or revelation in the tundra — but you will follow his tracks because even the possible evil you might encounter will at least come from a creature of your own breed. ";"en"
"ru";" яакат оннемИ ";"аксот";"Именно такая";"тоска";", ";"вероятно, сводит людей там, где встреча";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Именно такая тоска, вероятно, сводит людей там, где встреча как явление бытия, кажется, не существует; где вероятнее всего разминуться и почти невозможно сойтись; где двое — уже слишком много для разреженных пространств.";" It must be this longing that brings people together in a place where meetings as a fact of life do not exist; where it is much more likely to miss each other and almost impossible to meet; where two people is already too many for the rarefied spaces. ";"en"
"ru";" ьшил ,асажу олыб ен ешьлоб мотэ";"аксот";"этом больше не было ужаса, лишь";"тоска";" ";"безъязычия; черное ухо земли слушало белый";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Вся темнота, сколько ее было в ночи, отступалась от столпа; эоловы арфы пели в пустоте проемов, но в звуке этом больше не было ужаса, лишь тоска безъязычия; черное ухо земли слушало белый столп, как будто он был — слово.";" The roar of a foggy siren from the oncoming vessel deafened me, submerged my mental dread in the immediacy of physical fright, and I learned where I was. ";"en"
"ru";" к йетсонбосопс тен иртунв он ,йошуд";"ексот";"душой, но внутри нет способностей к";"тоске";", ";"к сильным душевным движениям, и поэтому";"Сергей Лебедев. Предел забвения (2010) | Sergei Lebedev. Oblivion (Antonina W. Bouis, 2016)";"Сергей Лебедев";"1981";"Предел забвения";"2010";"художественная";"";"";"";"";"";"омонимия не снята";"Это сильные люди, которые подспудно боятся жизни; постепенно утрачивают себя, распадаются незаметно, по частице; они могли бы черно тосковать, болеть душой, но внутри нет способностей к тоске, к сильным душевным движениям, и поэтому им остается пить, бросать себя в браваду и ухарство.";" These are strong men who secretly fear life; they gradually lose themselves, dissolving in particles; they could have mourned and suffered, but they didn't have the ability to mourn or feel on a major scale, and so all they could do was drink and behave with reckless bravado. ";"en"
"ru";" сан у тюавызыв йороп икшемсан и";"уксот";"и насмешки порой вызывают у нас";"тоску";" ";"по прежним временам, когда еще не";"Kate Fox. Watching the English: The Hidden Rules of Behaviour (2004) | Кейт Фокс. Наблюдая за англичанами: скрытые правила поведения (И. П. Новоселицкая, 2008)";"Kate Fox";"";"Watching the English: The Hidden Rules of Behaviour";"2004";"учебно-научная";"";"";"";"";"";"омонимия не снята";"Их высокомерие и насмешки порой вызывают у нас тоску по прежним временам, когда еще не было диетологов, произведших революцию в области питания, и члены высшего общества расценивали как невоспитанность любое замечание по поводу блюд, которые им подавали, а низшие классы считали главным достоинством еды ее сытность.";" Their patronizing and sneering sometimes makes one long for the old, pre-foodie-revolution days, when the upper classes considered it vulgar to make any comment at all on the food they were served, and the lower classes defined a good meal as a filling one. ";"en"
"ru";" яаншолпс — еитяирпорем отэ отч ,тяровог адгесв";"аксот";"всегда говорят, что это мероприятие — сплошная";"тоска";", ";"они умирают от скуки; никто никогда";"Kate Fox. Watching the English: The Hidden Rules of Behaviour (2004) | Кейт Фокс. Наблюдая за англичанами: скрытые правила поведения (И. П. Новоселицкая, 2008)";"Kate Fox";"";"Watching the English: The Hidden Rules of Behaviour";"2004";"учебно-научная";"";"";"";"";"";"омонимия не снята";"Все студенты всегда говорят, что это мероприятие — сплошная тоска, они умирают от скуки; никто никогда не признает, что он горд собой. Это просто утомительный ритуал, который нужно вытерпеть ради любящих родителей.";" Students all claim to be bored and unimpressed by this occasion; none will admit to any sense of pride: it is just a tedious ritual, to be endured for the sake of doting parents. ";"en"
"ru";" с ,худзов лунятв окобулг нодгнэЛ ";"йоксот";"Лэнгдон глубоко втянул воздух, с";"тоской";" ";"взглянув на эскалатор.";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"Лэнгдон глубоко втянул воздух, с тоской взглянув на эскалатор.";" Langdon exhaled, turning a longing glance back up the open-air escalator. ";"en"
"ru";" вилирп илавзыв алед аволС ";"иксот";"Слова дела вызвали прилив";"тоски";". ";"";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"В коробке у нее хранились газетные вырезки, подтверждавшие это.  Слова дела вызвали прилив тоски.  Моя семья!";" She had a box of newspaper clippings to confirm it.  His words had sent an unexpected surge of longing through her bones.  My family! ";"en"
"ru";" яартсо ализнорп ифоС ";"аксот";"Софи пронзила острая";"тоска";", ";"смешанная с чувством вины.";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"Софи пронзила острая тоска, смешанная с чувством вины.";" The remorse that gripped her was powerful and sudden, a deep sadness laced with guilt. ";"en"
"ru";" с нодгнэЛ ";"йоксот";"Лэнгдон с";"тоской";" ";"вспомнил о своем уютном номере в";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"Лэнгдон с тоской вспомнил о своем уютном номере в ""Ритце"".";" Langdon thought longingly of his comfortable room at the Ritz. ";"en"
"ru";" ьсилилаван еен ан гурдв тут И";"аксот";"И тут вдруг на нее навалились";"тоска";" ";"и странное оцепенение.";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"И тут вдруг на нее навалились тоска и странное оцепенение.";" A weary undertow was pulling at her now. ";"en"
"ru";" то олыназ ее ецдреС .ифоС алатомроборп";"иксот";"пробормотала Софи. Сердце ее заныло от";"тоски";" ";"и боли.";"Dan Brown. The Da Vinci Code (2003) | Дэн Браун. Код Да Винчи (Н. Рейн, 2004)";"Dan Brown";"1964";"The Da Vinci Code";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"― Но они погибли в автокатастрофе, ― пробормотала Софи. Сердце ее заныло от тоски и боли.";" ""It was a car accident, ""Sophie stammered, feeling the childhood pain welling inside her. ";"en"
"ru";" ализовкс едялгзв оге в ,лунходзв смйежД";"аксот";"Джеймс вздохнул, в его взгляде сквозила";"тоска";". ";"";"Lauren Weisberger. The Devil Wears Prada (2003) | Лорен Вайсбергер. Дьявол носит Прада (М. Маяков, Т. Шабаева, 2006)";"Lauren Weisberger";"1977";"The Devil Wears Prada";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"Хотя, наверное, они не так уж часто у вас случаются! ― пропел он и танцующей походкой направился к Риз.  Джеймс вздохнул, в его взгляде сквозила тоска.  ― Он мастер. Он самый-самый.";" Probably easier said than done!” he sang as he floated toward Reese.  James sighed and looked on wistfully.  “He's a master,” he breathed, “simply the best. ";"en"
"ru";" ьсалунсорп ецдрес меом в и ,еен";"аксот";"нее, и в моем сердце проснулась";"тоска";" ";"по университету, по нашей прежней жизни.";"Lauren Weisberger. The Devil Wears Prada (2003) | Лорен Вайсбергер. Дьявол носит Прада (М. Маяков, Т. Шабаева, 2006)";"Lauren Weisberger";"1977";"The Devil Wears Prada";"2003";"художественная";"";"";"";"";"";"омонимия не снята";"Я стояла и смотрела на нее, и в моем сердце проснулась тоска по университету, по нашей прежней жизни.";" I looked down at her, unconscious, and was momentarily nostalgic for college, for all the things we'd done together then. ";"en"
"ru";" яакат — сав ьшеашулС .етеатлоб мотэ бо";"аксот";"об этом болтаете. Слушаешь вас — такая";"тоска";" ";"берет.";"Lemony Snicket. The Erzatz Elevator (2001) | Лемони Сникет. Липовый лифт (А. Ставиская, 2005)";"Lemony Snicket";"1970";"The Erzatz Elevator";"2001";"художественная";"";"";"";"";"";"омонимия не снята";"— Я знаю, вы о них очень печетесь и без конца об этом болтаете. Слушаешь вас — такая тоска берет.";" ""I know you're worried about them, but it's boring to keep blabbing on about it. """;"en"
"ru";" в оге теяногв адеб хи отч";"уксот";"что их беда вгоняет его в";"тоску";", ";"но вслух она сказала: — Мы вовсе";"Lemony Snicket. The Erzatz Elevator (2001) | Лемони Сникет. Липовый лифт (А. Ставиская, 2005)";"Lemony Snicket";"1970";"The Erzatz Elevator";"2001";"художественная";"";"";"";"";"";"омонимия не снята";"Вайолет подумала, что только грубый и черствый человек может говорить людям о том, что их беда вгоняет его в тоску, но вслух она сказала: — Мы вовсе не хотели вам досаждать.";" ""We didn't mean to bore you, ""Violet said, not adding that it is terribly rude to tell people that their troubles are boring. ";"en"
"ru";" ьтангозар уме яагомоп ,одраноеЛ алишемс окьнетсач";"уксот";"частенько смешила Леонардо, помогая ему разогнать";"тоску";", ";"и он взял ее под свое";"Dan Brown. Angels and Demons (2000) | Дэн Браун. Ангелы и демоны (Г. Косов, 2004)";"Dan Brown";"1964";"Angels and Demons";"2000";"художественная";"";"";"";"";"";"омонимия не снята";"Виттория частенько смешила Леонардо, помогая ему разогнать тоску, и он взял ее под свое крыло. Он рассказал ей о таких восхитительных явлениях природы, как радуга и реки. От него она узнала о световом излучении, планетах, звездах… обо всем окружающем мире, каким его видят Бог и наука. Обладавшая врожденным интеллектом и неуемной любознательностью, Виттория оказалась на редкость способной ученицей. Леонардо опекал ее как родную дочь.";" Vittoria made Leonardo laugh, and he took her under his wing, teaching her that beautiful things like rainbows and the rivers had many explanations. He told her about light, planets, stars, and all of nature through the eyes of both God and science. Vittoria's innate intellect and curiosity made her a captivating student. Leonardo protected her like a daughter. ";"en"
