"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ьтавовтсвуч алачан ано морту дереП"" :теялвабирп";"уксот";"прибавляет: ""Перед утром она начала чувствовать";"тоску";" ";"смерти… """;"Валерий Мильдон. Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели // «Октябрь», 2002";"Валерий Мильдон";"1939";"Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели";"2002";"нехудожественная | публицистика";"статья";"наука и технологии | философия";"«Октябрь»";"2002";"журнал";"омонимия снята";"Максим Максимович, рассказывая о последних часах черкешенки, прибавляет: ""Перед утром она начала чувствовать тоску смерти… """
""" од ястеамудод ил дярв йорег йикёладен";"иксот";"недалёкий герой вряд ли додумается до """;"тоски";" ";"смерти"".";"Валерий Мильдон. Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели // «Октябрь», 2002";"Валерий Мильдон";"1939";"Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели";"2002";"нехудожественная | публицистика";"статья";"наука и технологии | философия";"«Октябрь»";"2002";"журнал";"омонимия снята";"Во-вторых, такое наблюдение не соответствует натуре рассказчика: простодушный, недалёкий герой вряд ли додумается до ""тоски смерти""."
""" алыб хин идерС ";"аксот";"Среди них была """;"тоска";" ";"смерти"" ― почти те же слова произносит";"Валерий Мильдон. Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели // «Октябрь», 2002";"Валерий Мильдон";"1939";"Лермонтов и Киркегор: феномен Печорина. Об одной русско-датской параллели";"2002";"нехудожественная | публицистика";"статья";"наука и технологии | философия";"«Октябрь»";"2002";"журнал";"омонимия снята";"Среди них была ""тоска смерти"" ― почти те же слова произносит Печорин в ""Фаталисте"": ""Я пристально посмотрел ему в глаза… мне казалось, я читал печать смерти на бледном лице его""."
" отэ ,тен есвоВ ― ";"аксот";"― Вовсе нет, это";"тоска";" ";"скучная, ― заспорила Фея Пионов.";"Татьяна Рик. Лекарство от плохого настроения // «Мурзилка», 2002";"Татьяна Рик";"";"Лекарство от плохого настроения";"2002";"художественная";"рассказ";"";"«Мурзилка»";"2002";"журнал";"омонимия снята";"― Вовсе нет, это тоска скучная, ― заспорила Фея Пионов."
" юьводв ёе ьтишулгирп тел ьтацдантсеш итэ";"уксот";"эти шестнадцать лет приглушить её вдовью";"тоску";". ";"";"Сати Спивакова. Не всё (2002)";"Сати Спивакова";"1962";"Не всё";"2002";"нехудожественная | публицистика";"мемуары";"";"Сати Спивакова. Не всё";"2002";"книга";"омонимия снята";"И никакие мои усилия не смогли за эти шестнадцать лет приглушить её вдовью тоску."
" ― йондо ясьтиварпто А ";"аксот";"А отправиться одной ―";"тоска";". ";"";"Токарева Виктория. Своя правда // «Новый Мир», 2002";"Токарева Виктория";"1937";"Своя правда";"2002";"художественная";"повесть";"";"«Новый Мир»";"2002";"журнал";"омонимия снята";"Ездить с Ферапонтом, постоянно преодолевать его плохое настроение ― себе дороже.  А отправиться одной ― тоска."
" ялд инзиж йоводурт йончывирп В ";"иксот";"В привычной трудовой жизни для";"тоски";" ";"не оставалось времени.";"Токарева Виктория. Своя правда // «Новый Мир», 2002";"Токарева Виктория";"1937";"Своя правда";"2002";"художественная";"повесть";"";"«Новый Мир»";"2002";"журнал";"омонимия снята";"В привычной трудовой жизни для тоски не оставалось времени."
" ,юьлоб ,имамелборп имикжят ёе имесв оС";"йоксот";"Со всеми её тяжкими проблемами, болью,";"тоской";", ";"руинами и незаживающими ранами трагической советской";"Второе пришествие Рюрика // «Культура», 2002.04.01";"";"";"Второе пришествие Рюрика";"2002";"нехудожественная | публицистика";"статья";"искусство и культура";"«Культура»";"2002.04.01";"газета";"омонимия снята";"Со всеми её тяжкими проблемами, болью, тоской, руинами и незаживающими ранами трагической советской истории."
" и мосажу с отч умотоп ,язьлен";"йоксот";"нельзя, потому что с ужасом и";"тоской";" ";"екает сердце, потому что ""беззаботный"" период";"Помогите, пожалуйста! // «Домовой», 2002.04.04";"";"";"Помогите, пожалуйста!";"2002";"нехудожественная | публицистика";"письмо";"политика и общественная жизнь";"«Домовой»";"2002.04.04";"журнал";"омонимия снята";"Но привыкнуть к ""беззаботной"" жизни нельзя, потому что с ужасом и тоской екает сердце, потому что ""беззаботный"" период кончится, и надо снова искать деньги на препарат."
" воцнок ецнок В ";"аксот";"В конце концов";"тоска";" ";"завязалась в опасный узел, я чувствовала";"Призраки за деревом детства // «Культура», 2002.04.08";"";"";"Призраки за деревом детства";"2002";"нехудожественная | публицистика";"статья";"искусство и культура";"«Культура»";"2002.04.08";"газета";"омонимия снята";"В конце концов тоска завязалась в опасный узел, я чувствовала, что вот-вот заболею."
" юуннемдан юуксвотамха аз мадто я огонрёЧ";"уксот";"Чёрного я отдам за ахматовскую надменную";"тоску";" ";"и пылкие рахманиновские страсти.";"Екатерина Бирюкова. Музыкальный реэкспорт. Елена Прокина привезла из-за границы русскую камерную музыку // «Известия», 2001.11.25";"Екатерина Бирюкова";"";"Музыкальный реэкспорт. Елена Прокина привезла из-за границы русскую камерную музыку";"2001";"нехудожественная | публицистика";"комментарий";"искусство и культура";"«Известия»";"2001.11.25";"газета";"омонимия снята";"Горькие темы звучат в исполнении певицы естественнее радостных: шутливую дурь Городецкого и роковой комизм Саши Чёрного я отдам за ахматовскую надменную тоску и пылкие рахманиновские страсти."
" ";"аксоТ";"";"Тоска";" ";"по женскому смеху.";"Андрей Геласимов. Фокс Малдер похож на свинью (2001)";"Андрей Геласимов";"1966";"Фокс Малдер похож на свинью";"2001";"художественная";"повесть";"";"Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы";"2001";"книга";"омонимия снята";"Видимо, в армии с этим проблемы.  Тоска по женскому смеху.  Особые интонации немужских голосов."
" с Я ";"йоксот";"Я с";"тоской";" ";"посмотрел в спину удаляющимся одноклассникам.";"Андрей Геласимов. Фокс Малдер похож на свинью (2001)";"Андрей Геласимов";"1966";"Фокс Малдер похож на свинью";"2001";"художественная";"повесть";"";"Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы";"2001";"книга";"омонимия снята";"Я с тоской посмотрел в спину удаляющимся одноклассникам."
" ";"аксоТ";"";"Тоска";" ";"по Востоку.";"Андрей Геласимов. Фокс Малдер похож на свинью (2001)";"Андрей Геласимов";"1966";"Фокс Малдер похож на свинью";"2001";"художественная";"повесть";"";"Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы";"2001";"книга";"омонимия снята";"""О, девятнадцатый век!  Тоска по Востоку.  Поза изгнанника на скале"""
" ынираМ у хазалг В ";"аксот";"В глазах у Марины";"тоска";". ";"";"Андрей Геласимов. Фокс Малдер похож на свинью (2001)";"Андрей Геласимов";"1966";"Фокс Малдер похож на свинью";"2001";"художественная";"повесть";"";"Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы";"2001";"книга";"омонимия снята";"Я незаметно возвращаюсь туда, где сидел.  В глазах у Марины тоска.  Я киваю ей головой."
" юуньлетремс имищядован и юлитс оп имымисонывен";"уксот";"невыносимыми по стилю и наводящими смертельную";"тоску";" ";"текстами советских академиков и профессоров философии";"Павел Кузнецов. Русский Феникс, или Что такое философия в России // «Звезда», 2001";"Павел Кузнецов";"";"Русский Феникс, или Что такое философия в России";"2001";"нехудожественная | публицистика";"статья";"наука и технологии | философия";"«Звезда»";"2001";"журнал";"омонимия снята";"И хотя периодически журнал по-прежнему открывается невыносимыми по стилю и наводящими смертельную тоску текстами советских академиков и профессоров философии типа ""наука, философия, нравственность"" (раньше было ― ""марксизм, гуманизм, мораль""), то во второй части журнала попадаются острые тексты по различной проблематике, свежие переводы и публикации…"
" юукссур юунмёт и ,соах йиксйизарве и";"уксот";"и евразийский хаос, и тёмную русскую";"тоску";", ";"и русский ужас, и русскую свободу.";"Павел Кузнецов. Русский Феникс, или Что такое философия в России // «Звезда», 2001";"Павел Кузнецов";"";"Русский Феникс, или Что такое философия в России";"2001";"нехудожественная | публицистика";"статья";"наука и технологии | философия";"«Звезда»";"2001";"журнал";"омонимия снята";"В этом ― глубинная сущность этноса, некое онтологическое ядро, которое в своих эмпирических проявлениях постоянно обнаруживает за ""западной оболочкой"" ""восточное содержание"" и на поверхности определяет всё: и евразийский хаос, и тёмную русскую тоску, и русский ужас, и русскую свободу."
" и яизарбоондо то а ,юьнесо отч";"иксот";"что осенью, а от однообразия и";"тоски";", ";"бывало, сходили с ума.";"Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001";"Олег Павлов";"1970";"Карагандинские девятины, или Повесть последних дней";"2001";"художественная";"повесть";"";"«Октябрь»";"2001";"журнал";"омонимия снята";"Служили, стало быть, на краю степей, где солнце пекло как в пустыне, что весной, что осенью, а от однообразия и тоски, бывало, сходили с ума."
" С ";"йоксот";"С";"тоской";" ";"пугал сам себя, что если откроется";"Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001";"Олег Павлов";"1970";"Карагандинские девятины, или Повесть последних дней";"2001";"художественная";"повесть";"";"«Октябрь»";"2001";"журнал";"омонимия снята";"С тоской пугал сам себя, что если откроется правда, то всю вину свалят быстрехонько на него, скажут, Абдуллаев не доглядел."
" еоннещюлпс от оН ";"йоксот";"Но то сплющенное";"тоской";", ";"то стёртое давностью, то вдруг до";"Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001";"Олег Павлов";"1970";"Карагандинские девятины, или Повесть последних дней";"2001";"художественная";"повесть";"";"«Октябрь»";"2001";"журнал";"омонимия снята";"Но то сплющенное тоской, то стёртое давностью, то вдруг до реализма новёхонькое, жизненное, сознательное, отчего буквицы, всё равно что их раздевали, даже не давали себя прочесть."
" и ,ьтсодар и иларги ,еывиж как";"уксот";"как живые, играли и радость, и";"тоску";". ";"";"Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001";"Олег Павлов";"1970";"Карагандинские девятины, или Повесть последних дней";"2001";"художественная";"повесть";"";"«Октябрь»";"2001";"журнал";"омонимия снята";"Чуть не каждое окно, где занавески были раздвинуты на манер кулис, гляделось кукольным театриком, где бутылки, вазочки, стаканы, как живые, играли и радость, и тоску."
" с ядялГ ";"йоксот";"Глядя с";"тоской";" ";"на тускловатый небесный свет, погладила несколько";"Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001";"Олег Павлов";"1970";"Карагандинские девятины, или Повесть последних дней";"2001";"художественная";"повесть";"";"«Октябрь»";"2001";"журнал";"омонимия снята";"Глядя с тоской на тускловатый небесный свет, погладила несколько раз живот."
" ,аболз ― ецил оге в олыб ондогу";"аксот";"угодно было в его лице ― злоба,";"тоска";", ";"ехидство ― но никак не радость…";"Вера Белоусова. Второй выстрел (2000)";"Вера Белоусова";"1958";"Второй выстрел";"2000";"художественная";"повесть";"";"Вера Белоусова. Второй выстрел";"2000";"книга";"омонимия снята";"Что угодно было в его лице ― злоба, тоска, ехидство ― но никак не радость…"
" с ― ,я ляноп еН ";"йоксот";"Не понял я, ― с";"тоской";" ";"повторил он.";"Вера Белоусова. Второй выстрел (2000)";"Вера Белоусова";"1958";"Второй выстрел";"2000";"художественная";"повесть";"";"Вера Белоусова. Второй выстрел";"2000";"книга";"омонимия снята";"Не понял я, ― с тоской повторил он."
" и юьтсомюргу ,меьвородзен яславичалпсар мыроток оп";"йоксот";"по которым расплачивался нездоровьем, угрюмостью и";"тоской";", ";"а Колюня, верно, мог проклятье с";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Но когда наконец прощались и, тяжело дыша, дед открывал засовы и снимал с двери цепочки, то, стоя в тёмном коридоре, изнывая от нетерпения и жары, мальчик читал в умильном и мутном старческом взгляде что-то заискивающее, как если бы, глядя в детские глаза, сластолюбивый толстяк добивался Колюниного прощения за все грехи своей долгой жизни, по которым расплачивался нездоровьем, угрюмостью и тоской, а Колюня, верно, мог проклятье с него снять и что-нибудь за своё участие и заступничество от старика получить."
" и ,лязв ен и оге узар";"аксот";"разу его и не взял, и";"тоска";" ";"по странствиям терзала, как зацепившийся рыболовный";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Но хотя Колюня хорошо себя вёл, в поход Глеб всё равно так ни разу его и не взял, и тоска по странствиям терзала, как зацепившийся рыболовный крючок, душу купавинского дитяти, а позднее и сами походы стали представляться ему не просто бродяжничеством и познанием новых мест, но образом той свободы, которой добивался человек в несвободной стране."
" то яавынзи ,адгок а ,ьсилаведзи и";"иксот";"и издевались, а когда, изнывая от";"тоски";", ";"он приходил на площадку или к";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Все её осуждали, а она была молодая, чувственная женщина, но замуж так и не вышла ― и вместе с матерью, курившей ""Беломор"", седой благородной старухой, воспитывала рыхлого сына, которого не брали в мальчишескую компанию, над которым смеялись и издевались, а когда, изнывая от тоски, он приходил на площадку или к воротам ― бросали обычные игры, начинали играть в ""жопки"" и заставляли его бегать за мячом, сами валяясь на травке и доводя Жиртреста до полного изнеможения."
" и итсонвер акдапирп то юнюлоК огоннелбюлв";"иксот";"влюбленного Колюню от припадка ревности и";"тоски";", ";"а самые основательные и преданные переправлялись";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Многие приезжали из Москвы и здесь же на безлесом берегу жгли костры, сидели всю ночь у донок с резинками, прислушиваясь, не зазвенит ли во тьме колокольчик, который позднее спас влюбленного Колюню от припадка ревности и тоски, а самые основательные и преданные переправлялись на надувных лодках на острова или, заякорившись, ловили с глубины."
" йоннелотуен яслимот ил дярв ,хаквоссам в";"йоксот";"в массовках, вряд ли томился неутоленной";"тоской";" ";"по девичьим нежности и теплу, но";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Там, между тёмным Аю-Дагом и старым Гурзуфом, возле высокогорного артековского стадиона, словно жуткое мертвенное видение проплыло однажды перед Колюнчиком надменное лицо худенького, не по летам серьёзного отрока, который не дарил старичкам на трибуне Мавзолея и в президиуме Дворца съездов цветы в толпе розовощёких совхерувимов, не кружился на танцах и не участвовал в массовках, вряд ли томился неутоленной тоской по девичьим нежности и теплу, но на высоких форумах звонким голосом читал пионерские приветствия Ленинскому Центральному Комитету и лично Леониду Ильичу, чей приезд со внучатами в Артек ожидался со дня на день."
" яантум алавытавхо ушуд юуню адгот и";"аксот";"и тогда юную душу охватывала мутная";"тоска";", ";"будто он что-то непоправимо упустил.";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"И про публичные дома, и про тайну деторождения Колюнчик теоретически давно уже знал, и именно из того самого источника, которого так опасались педагоги, однако некоторые детали оставались неясными, и было желательно их прояснить, его смущали новые образы и ощущения, о которых стыдно и не с кем было поговорить, подросток краснел и потел и всё чаще вспоминал переодевавшуюся на пляже соседскую девочку, пионерский лагерь ""Артек"" и рано созревших француженок, и тогда юную душу охватывала мутная тоска, будто он что-то непоправимо упустил."
" атЭ ";"аксот";"Эта";"тоска";" ";"была краткой и быстро проходила, едва";"Алексей Варламов. Купавна // «Новый Мир», 2000";"Алексей Варламов";"1963";"Купавна";"2000";"художественная";"роман";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Эта тоска была краткой и быстро проходила, едва мальчика касалось иное впечатление, и он с радостью от неё отвлекался, убегал в далёкие пространства и города, ездил вместе с сестрой на летнюю базу географического факультета близ деревеньки Сатино на Протве, а с маменькой в Рязань, Солотчу и Новгород, в Одессу, Тарусу и Старую Руссу, где иногда им удавалось поселиться в гостинице, а чаще спали на вокзалах и в морских портах в комнате матери и ребёнка, а то и вовсе стучались в двери незнакомых домов."
